=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:03:15 =~=~=~=~=~=~=~=~=~=~=~=
x:0.18,y:0.50,z:0.56
x:0.11,y:0.52,z:0.59
x:0.04,y:0.54,z:0.62
x:0.10,y:0.55,z:0.59
x:0.26,y:0.55,z:0.51
x:0.44,y:0.54,z:0.44
x:0.72,y:0.53,z:0.39
x:1.00,y:0.51,z:0.34
x:0.98,y:0.66,z:0.32
x:0.86,y:0.87,z:0.30
x:0.73,y:0.95,z:0.33
x:0.58,y:0.77,z:0.47
x:0.43,y:0.58,z:0.61
x:0.34,y:0.35,z:0.78
x:0.26,y:0.11,z:0.95
x:0.33,y:0.00,z:1.00
x:0.56,y:0.02,z:0.92
x:0.75,y:0.06,z:0.84
x:0.58,y:0.30,z:0.64
x:0.41,y:0.55,z:0.45
x:0.29,y:0.74,z:0.28
x:0.20,y:0.91,z:0.11
x:0.11,y:1.00,z:0.00
x:0.06,y:0.88,z:0.06
x:0.00,y:0.76,z:0.12
x:0.12,y:0.61,z:0.22
x:0.28,y:0.46,z:0.33
x:0.34,y:0.38,z:0.40
x:0.25,y:0.41,z:0.42
x:0.16,y:0.43,z:0.45
