=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:09:03 =~=~=~=~=~=~=~=~=~=~=~=
x:0.85,y:0.66,z:1.00
x:0.88,y:0.73,z:0.88
x:0.92,y:0.80,z:0.75
x:0.95,y:0.88,z:0.63
x:0.99,y:0.95,z:0.50
x:1.00,y:1.00,z:0.40
x:0.88,y:0.95,z:0.40
x:0.77,y:0.89,z:0.40
x:0.65,y:0.84,z:0.40
x:0.53,y:0.78,z:0.40
x:0.42,y:0.71,z:0.38
x:0.32,y:0.59,z:0.32
x:0.23,y:0.48,z:0.26
x:0.13,y:0.36,z:0.21
x:0.04,y:0.25,z:0.15
x:0.00,y:0.19,z:0.10
x:0.02,y:0.19,z:0.08
x:0.05,y:0.18,z:0.05
x:0.07,y:0.18,z:0.03
x:0.10,y:0.17,z:0.00
x:0.13,y:0.15,z:0.02
x:0.16,y:0.11,z:0.07
x:0.19,y:0.07,z:0.11
x:0.23,y:0.04,z:0.16
x:0.26,y:0.00,z:0.20
x:0.26,y:0.04,z:0.18
x:0.27,y:0.10,z:0.15
x:0.27,y:0.16,z:0.12
x:0.27,y:0.22,z:0.09
x:0.27,y:0.28,z:0.05
