=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:57:30 =~=~=~=~=~=~=~=~=~=~=~=
x:0.60,y:0.57,z:0.68
x:0.37,y:0.54,z:0.76
x:0.17,y:0.50,z:0.81
x:0.11,y:0.45,z:0.78
x:0.05,y:0.46,z:0.70
x:0.00,y:0.61,z:0.55
x:0.03,y:0.65,z:0.45
x:0.13,y:0.60,z:0.40
x:0.33,y:0.34,z:0.39
x:0.56,y:0.00,z:0.40
x:0.62,y:0.22,z:0.23
x:0.67,y:0.49,z:0.06
x:0.66,y:0.82,z:0.00
x:0.59,y:1.00,z:0.00
x:0.38,y:0.83,z:0.12
x:0.19,y:0.71,z:0.23
x:0.03,y:0.63,z:0.31
x:0.10,y:0.52,z:0.42
x:0.28,y:0.41,z:0.54
x:0.45,y:0.59,z:0.45
x:0.62,y:0.79,z:0.35
x:0.88,y:0.66,z:0.33
x:1.00,y:0.51,z:0.37
x:0.74,y:0.37,z:0.61
x:0.45,y:0.35,z:0.82
x:0.10,y:0.50,z:1.00
x:0.09,y:0.66,z:0.96
x:0.30,y:0.84,z:0.78
x:0.35,y:0.76,z:0.80
x:0.38,y:0.62,z:0.86
