=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:51:02 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:0.57,z:0.60
x:0.82,y:0.53,z:0.68
x:0.64,y:0.49,z:0.77
x:0.51,y:0.50,z:0.79
x:0.38,y:0.51,z:0.82
x:0.34,y:0.30,z:0.90
x:0.32,y:0.05,z:1.00
x:0.35,y:0.23,z:0.93
x:0.40,y:0.54,z:0.82
x:0.29,y:0.78,z:0.57
x:0.12,y:1.00,z:0.26
x:0.13,y:0.81,z:0.36
x:0.26,y:0.38,z:0.68
x:0.43,y:0.13,z:0.81
x:0.62,y:0.00,z:0.78
x:0.76,y:0.02,z:0.68
x:0.86,y:0.19,z:0.49
x:0.92,y:0.36,z:0.31
x:0.90,y:0.51,z:0.14
x:0.81,y:0.64,z:0.02
x:0.58,y:0.72,z:0.00
x:0.36,y:0.74,z:0.04
x:0.15,y:0.58,z:0.21
x:0.00,y:0.42,z:0.39
x:0.07,y:0.27,z:0.62
x:0.15,y:0.16,z:0.81
x:0.25,y:0.34,z:0.71
x:0.35,y:0.51,z:0.62
x:0.32,y:0.48,z:0.65
x:0.29,y:0.46,z:0.67
