=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:48:53 =~=~=~=~=~=~=~=~=~=~=~=
x:0.83,y:0.38,z:0.47
x:0.87,y:0.60,z:0.25
x:0.63,y:0.73,z:0.14
x:0.21,y:0.76,z:0.11
x:0.00,y:0.62,z:0.09
x:0.01,y:0.57,z:0.08
x:0.14,y:0.56,z:0.09
x:0.33,y:0.58,z:0.14
x:0.71,y:0.62,z:0.09
x:1.00,y:0.73,z:0.02
x:0.91,y:1.00,z:0.00
x:0.63,y:0.88,z:0.20
x:0.43,y:0.54,z:0.52
x:0.39,y:0.00,z:0.92
x:0.53,y:0.06,z:1.00
x:0.55,y:0.25,z:0.93
x:0.47,y:0.50,z:0.75
x:0.49,y:0.41,z:0.88
x:0.50,y:0.57,z:0.68
x:0.51,y:0.83,z:0.33
x:0.58,y:0.71,z:0.28
x:0.58,y:0.61,z:0.32
x:0.54,y:0.57,z:0.37
x:0.45,y:0.66,z:0.30
x:0.47,y:0.69,z:0.31
x:0.50,y:0.59,z:0.42
x:0.49,y:0.29,z:0.65
x:0.58,y:0.62,z:0.35
x:0.60,y:0.88,z:0.20
x:0.52,y:0.96,z:0.32
