=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 14:10:35 =~=~=~=~=~=~=~=~=~=~=~=
x:0.76,y:0.50,z:0.45
x:0.82,y:0.40,z:0.52
x:0.89,y:0.30,z:0.58
x:0.82,y:0.33,z:0.56
x:0.66,y:0.46,z:0.49
x:0.50,y:0.59,z:0.41
x:0.36,y:0.73,z:0.29
x:0.23,y:0.86,z:0.16
x:0.11,y:0.94,z:0.18
x:0.00,y:1.00,z:0.25
x:0.00,y:0.94,z:0.38
x:0.22,y:0.63,z:0.61
x:0.44,y:0.32,z:0.85
x:0.44,y:0.17,z:0.93
x:0.43,y:0.03,z:1.00
x:0.43,y:0.00,z:0.95
x:0.45,y:0.07,z:0.79
x:0.48,y:0.16,z:0.62
x:0.72,y:0.44,z:0.35
x:0.96,y:0.72,z:0.08
x:1.00,y:0.75,z:0.00
x:0.95,y:0.65,z:0.01
x:0.88,y:0.57,z:0.03
x:0.79,y:0.51,z:0.06
x:0.70,y:0.45,z:0.08
x:0.64,y:0.42,z:0.10
x:0.60,y:0.40,z:0.12
x:0.56,y:0.39,z:0.14
x:0.54,y:0.40,z:0.15
x:0.52,y:0.41,z:0.16
