=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 18:00:57 =~=~=~=~=~=~=~=~=~=~=~=
x:1.00,y:1.00,z:0.40
x:0.91,y:0.66,z:0.49
x:0.82,y:0.32,z:0.58
x:0.65,y:0.13,z:0.71
x:0.41,y:0.05,z:0.88
x:0.20,y:0.01,z:1.00
x:0.10,y:0.15,z:0.89
x:0.00,y:0.29,z:0.78
x:0.00,y:0.52,z:0.65
x:0.04,y:0.79,z:0.51
x:0.16,y:0.93,z:0.42
x:0.42,y:0.84,z:0.42
x:0.68,y:0.74,z:0.43
x:0.67,y:0.45,z:0.54
x:0.64,y:0.14,z:0.66
x:0.66,y:0.00,z:0.74
x:0.72,y:0.02,z:0.78
x:0.79,y:0.05,z:0.79
x:0.87,y:0.15,z:0.64
x:0.95,y:0.25,z:0.48
x:0.82,y:0.40,z:0.31
x:0.58,y:0.57,z:0.12
x:0.42,y:0.68,z:0.00
x:0.48,y:0.63,z:0.06
x:0.53,y:0.57,z:0.12
x:0.61,y:0.53,z:0.11
x:0.68,y:0.49,z:0.09
x:0.72,y:0.45,z:0.11
x:0.70,y:0.43,z:0.20
x:0.68,y:0.41,z:0.28
