=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:35:27 =~=~=~=~=~=~=~=~=~=~=~=
x:0.87,y:0.00,z:1.00
x:0.62,y:0.04,z:0.94
x:0.36,y:0.08,z:0.88
x:0.10,y:0.12,z:0.81
x:0.00,y:0.18,z:0.74
x:0.17,y:0.28,z:0.67
x:0.35,y:0.39,z:0.59
x:0.52,y:0.49,z:0.51
x:0.44,y:0.60,z:0.46
x:0.29,y:0.72,z:0.43
x:0.13,y:0.84,z:0.40
x:0.01,y:0.93,z:0.36
x:0.13,y:0.86,z:0.31
x:0.25,y:0.79,z:0.26
x:0.38,y:0.72,z:0.21
x:0.48,y:0.73,z:0.17
x:0.57,y:0.82,z:0.14
x:0.65,y:0.90,z:0.11
x:0.74,y:0.99,z:0.08
x:0.78,y:1.00,z:0.06
x:0.81,y:1.00,z:0.03
x:0.85,y:1.00,z:0.01
x:0.86,y:0.96,z:0.00
x:0.81,y:0.80,z:0.04
x:0.76,y:0.65,z:0.07
x:0.71,y:0.49,z:0.11
x:0.74,y:0.46,z:0.13
x:0.83,y:0.51,z:0.14
x:0.91,y:0.55,z:0.15
x:1.00,y:0.60,z:0.16
