=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 17:55:51 =~=~=~=~=~=~=~=~=~=~=~=
x:0.72,y:0.69,z:0.30
x:0.75,y:0.81,z:0.28
x:0.77,y:0.93,z:0.27
x:0.71,y:0.81,z:0.40
x:0.62,y:0.62,z:0.57
x:0.59,y:0.47,z:0.74
x:0.61,y:0.35,z:0.91
x:0.60,y:0.35,z:1.00
x:0.53,y:0.61,z:0.90
x:0.46,y:0.85,z:0.80
x:0.57,y:0.82,z:0.78
x:0.67,y:0.78,z:0.77
x:0.82,y:0.68,z:0.86
x:0.96,y:0.56,z:0.97
x:1.00,y:0.43,z:0.96
x:0.97,y:0.29,z:0.89
x:0.93,y:0.15,z:0.81
x:0.88,y:0.03,z:0.72
x:0.78,y:0.00,z:0.63
x:0.39,y:0.45,z:0.49
x:0.00,y:0.91,z:0.35
x:0.07,y:0.97,z:0.19
x:0.17,y:1.00,z:0.03
x:0.25,y:0.88,z:0.01
x:0.32,y:0.70,z:0.06
x:0.39,y:0.62,z:0.07
x:0.45,y:0.64,z:0.03
x:0.50,y:0.65,z:0.00
x:0.51,y:0.63,z:0.03
x:0.53,y:0.60,z:0.05
