=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.20 13:53:03 =~=~=~=~=~=~=~=~=~=~=~=
x:0.87,y:0.45,z:0.85
x:0.69,y:0.29,z:0.90
x:0.51,y:0.12,z:0.96
x:0.35,y:0.00,z:1.00
x:0.33,y:0.22,z:0.87
x:0.31,y:0.44,z:0.74
x:0.28,y:0.62,z:0.62
x:0.23,y:0.65,z:0.51
x:0.18,y:0.69,z:0.41
x:0.16,y:0.73,z:0.30
x:0.23,y:0.80,z:0.18
x:0.30,y:0.88,z:0.06
x:0.40,y:0.93,z:0.00
x:0.56,y:0.97,z:0.03
x:0.71,y:1.00,z:0.06
x:0.83,y:0.96,z:0.11
x:0.92,y:0.83,z:0.17
x:1.00,y:0.71,z:0.24
x:0.90,y:0.63,z:0.31
x:0.68,y:0.57,z:0.39
x:0.46,y:0.51,z:0.46
x:0.29,y:0.44,z:0.55
x:0.15,y:0.36,z:0.63
x:0.00,y:0.28,z:0.72
x:0.00,y:0.39,z:0.69
x:0.04,y:0.55,z:0.63
x:0.07,y:0.72,z:0.58
x:0.22,y:0.65,z:0.61
x:0.38,y:0.56,z:0.66
x:0.53,y:0.47,z:0.71
