=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 16:01:55 =~=~=~=~=~=~=~=~=~=~=~=
x:0.00,y:0.41,z:0.43
x:0.03,y:0.50,z:0.41
x:0.06,y:0.59,z:0.38
x:0.38,y:0.56,z:0.34
x:0.73,y:0.53,z:0.28
x:0.82,y:0.52,z:0.23
x:0.87,y:0.52,z:0.18
x:0.93,y:0.59,z:0.12
x:1.00,y:0.69,z:0.06
x:0.86,y:0.70,z:0.16
x:0.63,y:0.68,z:0.32
x:0.40,y:0.57,z:0.54
x:0.16,y:0.40,z:0.78
x:0.10,y:0.26,z:0.92
x:0.17,y:0.14,z:1.00
x:0.22,y:0.12,z:0.96
x:0.25,y:0.19,z:0.79
x:0.33,y:0.18,z:0.68
x:0.48,y:0.06,z:0.62
x:0.61,y:0.00,z:0.55
x:0.73,y:0.05,z:0.42
x:0.77,y:0.20,z:0.28
x:0.60,y:0.62,z:0.12
x:0.48,y:0.91,z:0.00
x:0.53,y:0.77,z:0.05
x:0.57,y:0.64,z:0.10
x:0.54,y:0.57,z:0.15
x:0.51,y:0.52,z:0.19
x:0.51,y:0.76,z:0.12
x:0.51,y:1.00,z:0.04
