=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 16:16:52 =~=~=~=~=~=~=~=~=~=~=~=
x:0.98,y:0.70,z:0.57
x:0.72,y:0.49,z:0.63
x:0.46,y:0.28,z:0.69
x:0.30,y:0.19,z:0.72
x:0.20,y:0.20,z:0.73
x:0.14,y:0.20,z:0.72
x:0.21,y:0.15,z:0.63
x:0.28,y:0.10,z:0.53
x:0.30,y:0.07,z:0.56
x:0.30,y:0.05,z:0.62
x:0.30,y:0.04,z:0.63
x:0.28,y:0.02,z:0.53
x:0.27,y:0.00,z:0.43
x:0.20,y:0.08,z:0.30
x:0.14,y:0.17,z:0.18
x:0.08,y:0.25,z:0.09
x:0.04,y:0.32,z:0.03
x:0.00,y:0.38,z:0.00
x:0.02,y:0.40,z:0.18
x:0.04,y:0.42,z:0.36
x:0.20,y:0.34,z:0.55
x:0.43,y:0.21,z:0.74
x:0.64,y:0.21,z:0.89
x:0.77,y:0.61,z:0.92
x:0.91,y:1.00,z:0.94
x:0.96,y:0.99,z:0.96
x:0.99,y:0.91,z:0.99
x:1.00,y:0.87,z:1.00
x:0.97,y:0.88,z:1.00
x:0.94,y:0.89,z:1.00
