=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:53:22 =~=~=~=~=~=~=~=~=~=~=~=
x:0.46,y:1.00,z:0.45
x:0.56,y:0.76,z:0.54
x:0.60,y:0.50,z:0.63
x:0.42,y:0.16,z:0.70
x:0.23,y:0.13,z:0.70
x:0.02,y:0.64,z:0.58
x:0.00,y:0.87,z:0.50
x:0.12,y:0.88,z:0.44
x:0.22,y:0.63,z:0.39
x:0.33,y:0.29,z:0.35
x:0.41,y:0.60,z:0.26
x:0.49,y:0.91,z:0.17
x:0.64,y:0.92,z:0.06
x:0.70,y:0.90,z:0.00
x:0.54,y:0.80,z:0.05
x:0.37,y:0.78,z:0.07
x:0.19,y:0.84,z:0.07
x:0.14,y:0.75,z:0.16
x:0.16,y:0.58,z:0.28
x:0.35,y:0.51,z:0.34
x:0.56,y:0.46,z:0.38
x:0.67,y:0.57,z:0.41
x:0.80,y:0.64,z:0.44
x:1.00,y:0.59,z:0.51
x:0.93,y:0.39,z:0.65
x:0.52,y:0.00,z:0.91
x:0.33,y:0.02,z:1.00
x:0.28,y:0.28,z:0.99
x:0.30,y:0.50,z:0.97
x:0.34,y:0.70,z:0.95
