=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:45:25 =~=~=~=~=~=~=~=~=~=~=~=
x:0.43,y:0.55,z:0.88
x:0.50,y:0.54,z:0.83
x:0.58,y:0.53,z:0.78
x:0.36,y:0.45,z:0.86
x:0.05,y:0.34,z:0.99
x:0.00,y:0.23,z:1.00
x:0.16,y:0.12,z:0.90
x:0.29,y:0.12,z:0.82
x:0.32,y:0.34,z:0.78
x:0.35,y:0.57,z:0.72
x:0.31,y:0.78,z:0.47
x:0.28,y:1.00,z:0.21
x:0.25,y:0.72,z:0.35
x:0.23,y:0.35,z:0.57
x:0.35,y:0.13,z:0.69
x:0.57,y:0.01,z:0.74
x:0.75,y:0.00,z:0.71
x:0.89,y:0.16,z:0.57
x:1.00,y:0.30,z:0.43
x:0.99,y:0.36,z:0.25
x:0.97,y:0.42,z:0.07
x:0.90,y:0.54,z:0.03
x:0.82,y:0.67,z:0.00
x:0.68,y:0.63,z:0.07
x:0.53,y:0.52,z:0.18
x:0.53,y:0.39,z:0.23
x:0.72,y:0.24,z:0.23
x:0.86,y:0.13,z:0.25
x:0.83,y:0.19,z:0.34
x:0.81,y:0.25,z:0.43
