=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:30:47 =~=~=~=~=~=~=~=~=~=~=~=
x:0.49,y:0.40,z:0.59
x:0.44,y:0.43,z:0.56
x:0.37,y:0.45,z:0.54
x:0.28,y:0.47,z:0.52
x:0.14,y:0.61,z:0.33
x:0.01,y:0.74,z:0.14
x:0.00,y:0.64,z:0.17
x:0.12,y:0.54,z:0.17
x:0.34,y:0.44,z:0.16
x:0.65,y:0.44,z:0.12
x:0.87,y:0.44,z:0.10
x:0.91,y:0.46,z:0.13
x:0.97,y:0.62,z:0.13
x:1.00,y:0.80,z:0.17
x:0.75,y:0.60,z:0.48
x:0.53,y:0.42,z:0.73
x:0.34,y:0.27,z:0.91
x:0.32,y:0.10,z:0.98
x:0.41,y:0.00,z:1.00
x:0.73,y:0.06,z:0.91
x:0.73,y:0.19,z:0.82
x:0.56,y:0.35,z:0.72
x:0.53,y:0.51,z:0.48
x:0.38,y:0.72,z:0.28
x:0.09,y:1.00,z:0.14
x:0.27,y:0.97,z:0.05
x:0.47,y:0.85,z:0.00
x:0.45,y:0.64,z:0.04
x:0.51,y:0.53,z:0.16
x:0.61,y:0.50,z:0.33
