=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:35:04 =~=~=~=~=~=~=~=~=~=~=~=
x:0.80,y:0.27,z:0.74
x:0.61,y:0.38,z:0.59
x:0.41,y:0.48,z:0.43
x:0.27,y:0.53,z:0.35
x:0.15,y:0.56,z:0.29
x:0.06,y:0.63,z:0.20
x:0.00,y:0.74,z:0.07
x:0.04,y:0.85,z:0.00
x:0.32,y:0.93,z:0.07
x:0.57,y:1.00,z:0.15
x:0.41,y:0.85,z:0.31
x:0.26,y:0.70,z:0.48
x:0.25,y:0.48,z:0.65
x:0.26,y:0.26,z:0.83
x:0.30,y:0.10,z:0.93
x:0.34,y:0.00,z:0.98
x:0.34,y:0.02,z:1.00
x:0.27,y:0.24,z:0.99
x:0.22,y:0.42,z:0.95
x:0.24,y:0.43,z:0.79
x:0.27,y:0.44,z:0.62
x:0.36,y:0.46,z:0.59
x:0.46,y:0.48,z:0.56
x:0.62,y:0.59,z:0.45
x:0.81,y:0.74,z:0.30
x:0.94,y:0.77,z:0.18
x:0.99,y:0.67,z:0.11
x:1.00,y:0.55,z:0.08
x:0.86,y:0.39,z:0.16
x:0.72,y:0.23,z:0.24
