=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:24:44 =~=~=~=~=~=~=~=~=~=~=~=
x:0.84,y:0.59,z:0.71
x:0.79,y:0.35,z:0.79
x:0.74,y:0.11,z:0.87
x:0.54,y:0.10,z:0.93
x:0.29,y:0.16,z:0.97
x:0.13,y:0.26,z:0.93
x:0.06,y:0.40,z:0.81
x:0.00,y:0.57,z:0.67
x:0.00,y:0.80,z:0.50
x:0.03,y:1.00,z:0.35
x:0.44,y:0.96,z:0.37
x:0.85,y:0.92,z:0.38
x:0.89,y:0.61,z:0.54
x:0.86,y:0.25,z:0.74
x:0.75,y:0.09,z:0.87
x:0.59,y:0.05,z:0.98
x:0.58,y:0.02,z:1.00
x:0.83,y:0.00,z:0.88
x:1.00,y:0.02,z:0.76
x:0.71,y:0.26,z:0.70
x:0.42,y:0.50,z:0.63
x:0.32,y:0.68,z:0.42
x:0.23,y:0.84,z:0.21
x:0.23,y:0.86,z:0.09
x:0.28,y:0.80,z:0.02
x:0.33,y:0.73,z:0.00
x:0.38,y:0.64,z:0.05
x:0.43,y:0.55,z:0.10
x:0.46,y:0.46,z:0.13
x:0.49,y:0.36,z:0.16
