=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:21:44 =~=~=~=~=~=~=~=~=~=~=~=
x:0.17,y:0.45,z:0.75
x:0.12,y:0.32,z:0.83
x:0.06,y:0.18,z:0.91
x:0.01,y:0.04,z:0.99
x:0.00,y:0.00,z:1.00
x:0.06,y:0.12,z:0.91
x:0.12,y:0.24,z:0.81
x:0.18,y:0.36,z:0.72
x:0.37,y:0.35,z:0.69
x:0.60,y:0.30,z:0.68
x:0.83,y:0.25,z:0.68
x:1.00,y:0.22,z:0.67
x:0.80,y:0.29,z:0.63
x:0.60,y:0.35,z:0.60
x:0.40,y:0.42,z:0.56
x:0.27,y:0.53,z:0.49
x:0.22,y:0.69,z:0.40
x:0.16,y:0.84,z:0.31
x:0.11,y:1.00,z:0.21
x:0.19,y:0.96,z:0.15
x:0.28,y:0.89,z:0.09
x:0.38,y:0.82,z:0.03
x:0.45,y:0.74,z:0.00
x:0.43,y:0.66,z:0.04
x:0.41,y:0.58,z:0.07
x:0.40,y:0.50,z:0.11
x:0.38,y:0.46,z:0.12
x:0.36,y:0.44,z:0.11
x:0.34,y:0.42,z:0.10
x:0.33,y:0.40,z:0.09
