=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 15:49:50 =~=~=~=~=~=~=~=~=~=~=~=
x:0.60,y:0.90,z:0.54
x:0.53,y:0.71,z:0.64
x:0.45,y:0.51,z:0.74
x:0.39,y:0.36,z:0.84
x:0.37,y:0.27,z:0.92
x:0.35,y:0.19,z:1.00
x:0.35,y:0.28,z:0.98
x:0.36,y:0.44,z:0.92
x:0.40,y:0.57,z:0.87
x:0.63,y:0.49,z:0.87
x:0.86,y:0.40,z:0.88
x:0.99,y:0.36,z:0.87
x:0.99,y:0.38,z:0.83
x:1.00,y:0.41,z:0.80
x:0.90,y:0.28,z:0.83
x:0.78,y:0.12,z:0.88
x:0.67,y:0.00,z:0.90
x:0.61,y:0.03,z:0.80
x:0.56,y:0.06,z:0.70
x:0.42,y:0.27,z:0.56
x:0.21,y:0.63,z:0.39
x:0.00,y:1.00,z:0.22
x:0.12,y:0.94,z:0.13
x:0.27,y:0.84,z:0.04
x:0.38,y:0.73,z:0.00
x:0.41,y:0.60,z:0.06
x:0.43,y:0.46,z:0.12
x:0.45,y:0.39,z:0.16
x:0.48,y:0.36,z:0.19
x:0.51,y:0.33,z:0.22
