=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.02 14:15:19 =~=~=~=~=~=~=~=~=~=~=~=
x:0.94,y:0.65,z:0.65
x:0.84,y:0.42,z:0.81
x:0.73,y:0.20,z:0.96
x:0.61,y:0.13,z:1.00
x:0.49,y:0.11,z:1.00
x:0.46,y:0.16,z:0.91
x:0.52,y:0.28,z:0.76
x:0.55,y:0.37,z:0.62
x:0.51,y:0.40,z:0.54
x:0.46,y:0.45,z:0.45
x:0.32,y:0.72,z:0.33
x:0.17,y:0.98,z:0.22
x:0.22,y:1.00,z:0.11
x:0.31,y:0.97,z:0.00
x:0.50,y:0.85,z:0.03
x:0.75,y:0.67,z:0.13
x:0.92,y:0.52,z:0.23
x:0.97,y:0.40,z:0.32
x:1.00,y:0.28,z:0.42
x:0.96,y:0.14,z:0.63
x:0.92,y:0.00,z:0.84
x:0.59,y:0.17,z:0.83
x:0.24,y:0.37,z:0.80
x:0.08,y:0.51,z:0.80
x:0.00,y:0.61,z:0.81
x:0.06,y:0.64,z:0.78
x:0.28,y:0.57,z:0.72
x:0.44,y:0.52,z:0.66
x:0.39,y:0.51,z:0.62
x:0.34,y:0.50,z:0.59
